p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.69E-07,0.473953426,0.71,0.508,0.013340796,1,TSR3
3.70E-07,0.540833477,0.569,0.4,0.013372637,1,TMEM205
3.70E-07,0.450136362,0.424,0.25,0.013378843,1,SLC1A4
3.74E-07,0.408554909,0.855,0.647,0.013507672,1,RPS19BP1
3.78E-07,0.399845612,0.71,0.535,0.013670541,1,ATP6V1E1
3.84E-07,0.866802202,0.336,0.191,0.013887556,1,SOCS3
3.84E-07,0.744157001,0.351,0.199,0.013891026,1,PAPSS2
3.95E-07,0.38965295,0.851,0.738,0.014283648,1,ESD
4.00E-07,0.374264026,0.824,0.699,0.014454274,1,VPS28
4.07E-07,1.049429786,0.302,0.167,0.014695515,1,TNFAIP8
4.21E-07,0.5190795,0.584,0.393,0.015232435,1,SSSCA1
4.25E-07,0.364506215,0.637,0.441,0.015372854,1,RIC8A
4.33E-07,0.5093649,0.569,0.39,0.015657204,1,PSMG1
4.37E-07,0.583580167,0.416,0.249,0.015797649,1,GSKIP
4.40E-07,0.259953732,0.966,0.879,0.015915761,1,CUTA
4.45E-07,0.317213373,0.832,0.701,0.016081989,1,DCTN3
4.54E-07,0.456018928,0.748,0.579,0.016421145,1,DDAH2
4.64E-07,0.50514569,0.611,0.426,0.016762074,1,ZNF580
4.64E-07,0.670948417,0.336,0.18,0.016768933,1,CCDC104
4.70E-07,0.476415237,0.71,0.517,0.016983554,1,ZNF593
4.77E-07,0.863621745,0.412,0.252,0.01722707,1,IL7R
4.78E-07,0.527813417,0.462,0.281,0.017262955,1,PHF23
4.87E-07,0.319902692,0.908,0.628,0.017588118,1,FAM127A
5.05E-07,0.662217287,0.653,0.534,0.018239065,1,JUND
5.08E-07,0.438327078,0.779,0.683,0.01837287,1,NDUFB6
5.12E-07,0.463796232,0.676,0.505,0.018500469,1,ZMAT2
5.18E-07,0.663908986,0.576,0.432,0.018717277,1,ATP13A3
5.27E-07,0.518982447,0.752,0.618,0.019055569,1,FSCN1
5.38E-07,0.303352907,0.966,0.869,0.019425448,1,RHEB
5.50E-07,0.286395778,0.977,0.908,0.019868277,1,CCNI
5.51E-07,0.4293469,0.695,0.517,0.019898628,1,BOLA3
5.53E-07,0.267681186,0.748,0.539,0.019980204,1,MED31
5.59E-07,0.64923118,0.55,0.386,0.020197709,1,DHRS4L2
5.80E-07,0.344799318,0.595,0.409,0.020971474,1,CXXC5
6.04E-07,0.365944651,0.744,0.484,0.021810441,1,EVA1B
6.08E-07,0.441605291,0.603,0.413,0.02198678,1,EFR3A
6.14E-07,0.394474705,0.683,0.52,0.022204828,1,PCYOX1
6.21E-07,0.455617731,0.656,0.465,0.022427814,1,JOSD2
6.29E-07,0.669357678,0.397,0.236,0.022718862,1,TOMM70A
6.31E-07,1.017864978,0.279,0.146,0.022806062,1,OLFML2A
6.40E-07,0.827058496,0.302,0.163,0.023133767,1,EDN1
6.44E-07,0.558486578,0.489,0.318,0.023276138,1,HSPA13
6.48E-07,0.310356592,0.977,0.669,0.023411541,1,MYEOV2
6.50E-07,0.789379643,0.405,0.259,0.023483767,1,ANTXR2
6.56E-07,0.475959268,0.66,0.48,0.023690873,1,MRPL32
6.60E-07,0.614854649,0.427,0.263,0.02385398,1,PLAUR
6.60E-07,0.636619195,0.374,0.219,0.023856622,1,AIG1
6.63E-07,0.854374832,0.267,0.133,0.023964636,1,MINA
6.72E-07,0.618769605,0.466,0.287,0.024288098,1,PVRL3
6.72E-07,0.424514716,0.645,0.429,0.024295865,1,C19orf60
6.90E-07,0.55305297,0.542,0.389,0.024926219,1,NUCB1
7.21E-07,0.312171579,0.958,0.86,0.026054552,1,ATP6V1F
7.32E-07,0.388983414,0.55,0.368,0.026461898,1,EMP1
7.35E-07,0.60284553,0.504,0.343,0.026555646,1,GCLC
7.39E-07,0.380533706,0.492,0.329,0.026704701,1,GINM1
7.39E-07,0.492716905,0.645,0.485,0.026704859,1,ALKBH7
7.43E-07,0.53909203,0.561,0.362,0.026853256,1,ITGB5
7.46E-07,0.531177101,0.58,0.378,0.026943107,1,CMTM3
7.48E-07,0.635499311,0.496,0.341,0.027041153,1,ABCC4
7.63E-07,0.424015762,0.55,0.344,0.02758067,1,MSC
7.73E-07,0.325824628,0.885,0.731,0.027937348,1,HDDC2
7.77E-07,0.51992543,0.496,0.32,0.028075856,1,TP53I13
7.80E-07,0.385941398,0.844,0.751,0.028191404,1,PDCD5
7.95E-07,0.554404452,0.63,0.448,0.028725946,1,GADD45A
8.00E-07,0.798942914,0.309,0.166,0.028908656,1,EID2
8.06E-07,0.364577656,0.996,0.678,0.029111998,1,GNB2L1
8.48E-07,0.496193879,0.519,0.329,0.030663706,1,RABL5
8.54E-07,0.422422026,0.492,0.313,0.030854938,1,SLC30A5
8.61E-07,0.929928383,0.302,0.164,0.031114013,1,TYMP
8.83E-07,0.374810909,0.802,0.659,0.031923489,1,SNX6
8.94E-07,0.586840165,0.592,0.438,0.032301,1,THOC7
8.97E-07,0.289062406,0.847,0.659,0.032409243,1,CAPN2
9.25E-07,0.380226766,0.866,0.733,0.033424725,1,ACP1
9.26E-07,0.355343783,0.359,0.215,0.033476088,1,GRK5
9.39E-07,0.418710527,0.805,0.668,0.033933773,1,TEAD1
9.56E-07,0.598575288,0.424,0.257,0.034536042,1,C21orf33
9.58E-07,0.362041285,0.477,0.3,0.034636978,1,DPCD
9.60E-07,0.356817928,0.767,0.551,0.03467701,1,RAB13
9.69E-07,0.824251548,0.389,0.239,0.03502135,1,TPD52L1
9.89E-07,0.599039188,0.443,0.284,0.0357543,1,SH3PXD2A
9.91E-07,0.342695731,0.824,0.647,0.035819606,1,NDUFAF3
9.92E-07,0.618768043,0.462,0.296,0.035848026,1,ROR1
9.99E-07,0.520969539,0.485,0.307,0.03610447,1,AC093673.5
1.01E-06,0.273328328,0.943,0.901,0.036361965,1,SNRPD2
1.02E-06,1.099351486,0.29,0.16,0.036750804,1,CDC42EP2
1.02E-06,0.558153535,0.42,0.249,0.036837518,1,BRE
1.05E-06,0.471916903,0.653,0.449,0.037884689,1,ZFYVE21
1.05E-06,0.474053226,0.443,0.273,0.038088377,1,PFDN6
1.07E-06,0.545802942,0.63,0.492,0.038657852,1,SYF2
1.07E-06,0.615336078,0.393,0.233,0.038826568,1,RAB23
1.12E-06,0.335646168,0.901,0.828,0.040303371,1,BTF3L4
1.13E-06,0.572776583,0.5,0.338,0.040764107,1,DNAJB14
1.16E-06,0.620661256,0.538,0.38,0.041823287,1,CTSA
1.16E-06,0.265692947,0.748,0.597,0.041929753,1,XRN2
1.16E-06,0.900679653,0.263,0.133,0.042070018,1,FAH
1.17E-06,0.480608832,0.462,0.288,0.042195012,1,FAM91A1
1.17E-06,0.606344373,0.324,0.186,0.042327952,1,ERAP1
1.17E-06,0.308692043,0.908,0.778,0.042369587,1,BUD31
1.22E-06,0.707884464,0.34,0.192,0.044015037,1,NDNL2
1.26E-06,1.069590014,0.256,0.131,0.045675768,1,PRR5
1.28E-06,0.718983693,0.347,0.199,0.046128958,1,HOXB5
1.28E-06,0.490531698,0.641,0.481,0.046150749,1,ME1
1.29E-06,0.587168361,0.538,0.361,0.046487123,1,MGAT1
1.30E-06,0.75629716,0.34,0.194,0.047050715,1,BACH1
1.30E-06,0.438057401,0.71,0.539,0.047151412,1,MRPL13
1.31E-06,0.430845388,0.702,0.555,0.047509876,1,AAMDC
1.31E-06,0.655928648,0.355,0.212,0.047513681,1,ANXA4
1.34E-06,0.667871022,0.397,0.242,0.048423217,1,EGFL7
