"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045862","GO:0045862","positive regulation of proteolysis","3/27","325/18986",0.00923076923076923,6.49094017094017,3.76790899830364,0.010724193184803,0.0915319295509936,0.0595128356792851,"CAPN3/CNTN2/TF",3
"GO:0072001","GO:0072001","renal system development","3/27","332/18986",0.00903614457831325,6.35408299866131,3.71404896003293,0.0113593421358268,0.0961099121579085,0.0624893787060129,"SOX9/EYA1/FREM2",3
"GO:0045445","GO:0045445","myoblast differentiation","2/27","115/18986",0.0173913043478261,12.229307568438,4.55810063714147,0.0115647221917745,0.0961749973726201,0.0625316962416235,"SOX9/CAPN3",2
"GO:0051303","GO:0051303","establishment of chromosome localization","2/27","115/18986",0.0173913043478261,12.229307568438,4.55810063714147,0.0115647221917745,0.0961749973726201,0.0625316962416235,"AURKB/TTK",2
"GO:1902749","GO:1902749","regulation of cell cycle G2/M phase transition","2/27","120/18986",0.0166666666666667,11.7197530864198,4.44544211567839,0.012542074445824,0.0979607881791693,0.0636927935259163,"AURKB/CDC25C",2
"GO:0051261","GO:0051261","protein depolymerization","2/27","122/18986",0.0163934426229508,11.5276259866424,4.40223212214877,0.0129428533011452,0.0979607881791693,0.0636927935259163,"AURKB/TPX2",2
"GO:0050000","GO:0050000","chromosome localization","2/27","123/18986",0.016260162601626,11.4339054501656,4.3810028913269,0.0131453345407027,0.0979607881791693,0.0636927935259163,"AURKB/TTK",2
"GO:0072009","GO:0072009","nephron epithelium development","2/27","123/18986",0.016260162601626,11.4339054501656,4.3810028913269,0.0131453345407027,0.0979607881791693,0.0636927935259163,"SOX9/EYA1",2
"GO:0031644","GO:0031644","regulation of nervous system process","2/27","124/18986",0.0161290322580645,11.3416965352449,4.36001749200866,0.0133492049052148,0.0979607881791693,0.0636927935259163,"MAG/CDK18",2
"GO:1901989","GO:1901989","positive regulation of cell cycle phase transition","2/27","125/18986",0.016,11.250962962963,4.33927108975467,0.0135544603424309,0.0979607881791693,0.0636927935259163,"RRM2/CDC25C",2
"GO:0042063","GO:0042063","gliogenesis","3/27","355/18986",0.00845070422535211,5.94241001564945,3.54743408190602,0.0135982997972598,0.0979607881791693,0.0636927935259163,"SOX9/MAG/CNTN2",3
"GO:0034502","GO:0034502","protein localization to chromosome","2/27","126/18986",0.0158730158730159,11.161669606114,4.31875898405505,0.0137610968080706,0.0979607881791693,0.0636927935259163,"AURKB/TTK",2
"GO:0003266","GO:0003266","regulation of secondary heart field cardioblast proliferation","1/27","10/18986",0.1,70.3185185185185,8.27420746471899,0.0141336713997394,0.0979607881791693,0.0636927935259163,"EYA1",1
"GO:0031055","GO:0031055","chromatin remodeling at centromere","1/27","10/18986",0.1,70.3185185185185,8.27420746471899,0.0141336713997394,0.0979607881791693,0.0636927935259163,"HJURP",1
"GO:0034080","GO:0034080","CENP-A containing chromatin assembly","1/27","10/18986",0.1,70.3185185185185,8.27420746471899,0.0141336713997394,0.0979607881791693,0.0636927935259163,"HJURP",1
"GO:0048865","GO:0048865","stem cell fate commitment","1/27","10/18986",0.1,70.3185185185185,8.27420746471899,0.0141336713997394,0.0979607881791693,0.0636927935259163,"SOX9",1
"GO:0051307","GO:0051307","meiotic chromosome separation","1/27","10/18986",0.1,70.3185185185185,8.27420746471899,0.0141336713997394,0.0979607881791693,0.0636927935259163,"TTK",1
"GO:0060502","GO:0060502","epithelial cell proliferation involved in lung morphogenesis","1/27","10/18986",0.1,70.3185185185185,8.27420746471899,0.0141336713997394,0.0979607881791693,0.0636927935259163,"SOX9",1
"GO:0060872","GO:0060872","semicircular canal development","1/27","10/18986",0.1,70.3185185185185,8.27420746471899,0.0141336713997394,0.0979607881791693,0.0636927935259163,"EYA1",1
"GO:0072173","GO:0072173","metanephric tubule morphogenesis","1/27","10/18986",0.1,70.3185185185185,8.27420746471899,0.0141336713997394,0.0979607881791693,0.0636927935259163,"SOX9",1
"GO:0090184","GO:0090184","positive regulation of kidney development","1/27","10/18986",0.1,70.3185185185185,8.27420746471899,0.0141336713997394,0.0979607881791693,0.0636927935259163,"SOX9",1
